timestamp,tweet_id,source,text,rating_numerator,rating_denominator,name,type,date,time,rating,jpg_url,confidence,dog,created_at,favorite_count,retweet_count,followers_count,favourites_count
2017-07-31 00:18:03,891815181378084864,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12.0,10.0,Archie,,31-07-2017,00:18,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012,chihuahua,2017-07-31 00:18:03,24622,4078,7523763,140516
2017-07-30 15:58:51,891689557279858688,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13.0,10.0,Darla,,30-07-2017,15:58,1.3,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.17027799999999998,paper towel,2017-07-30 15:58:51,41475,8484,7523763,140516
2017-07-29 16:00:24,891327558926688256,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12.0,10.0,Franklin,,29-07-2017,16:00,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712,basset,2017-07-29 16:00:24,39636,9169,7523763,140516
2017-07-29 00:08:17,891087950875897856,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13.0,10.0,,,29-07-2017,00:08,1.3,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,0.425595,chesapeake bay retriever,2017-07-29 00:08:17,19903,3055,7523763,140516
2017-07-28 00:22:40,890729181411237888,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13.0,10.0,,,28-07-2017,00:22,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142,pomeranian,2017-07-28 00:22:40,64319,18508,7523763,140516
2017-07-27 16:25:51,890609185150312448,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13.0,10.0,Zoey,,27-07-2017,16:25,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,0.487574,irish terrier,2017-07-27 16:25:51,27353,4194,7523763,140516
2017-07-26 00:31:25,890006608113172480,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13.0,10.0,Koda,,26-07-2017,00:31,1.3,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,0.957979,samoyed,2017-07-26 00:31:25,30166,7193,7523763,140516
2017-07-25 00:10:02,889638837579907072,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12.0,10.0,Ted,,25-07-2017,00:10,1.2,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,0.99165,french bulldog,2017-07-25 00:10:02,26700,4457,7523763,140516
2017-07-24 00:19:32,889278841981685760,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13.0,10.0,Oliver,,24-07-2017,00:19,1.3,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,0.626152,whippet,2017-07-24 00:19:32,24836,5274,7523763,140516
2017-07-23 00:22:39,888917238123831296,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12.0,10.0,Jim,,23-07-2017,00:22,1.2,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,0.714719,golden retriever,2017-07-23 00:22:39,28628,4409,7523763,140516
2017-07-22 00:23:06,888554962724278272,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,13.0,10.0,Ralphus,,22-07-2017,00:23,1.3,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,0.700377,siberian husky,2017-07-22 00:23:06,19512,3485,7523763,140516
